"studyDbId","studyName","studyDescription","trialType","breedingProgramDbId","breedingProgramName","breedingProgramDescription","studyYear","studyDesign","locationDbId","locationName","plantingDate","harvestDate","plotWidth","plotLength","plantsPerPlot","numberBlocks","numberReps","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","folderDbId","folderName","folderDescription","managementFactors"
"3643","00ayt24MkSelMK","Assessment of Varieties (Selections from Mokwa) of Cassava for high yield, disease resistance in Advanced Yield Trial (24 clones) in Mokwa 2000/2001 Breeding Season 
","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-July-26","2001-July-26","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3664","00ayt25JOselMK","Assessment of Varieties (Selections from JOS) of Cassava for high yield, disease resistance in Advanced Yield Trial (25 clones) in Mokwa 2000/2001 Breeding Season ","","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-August-01","2001-July-27","","","","2","2","","","","1813","00_Mokwa",""," No ManagementFactor: "
"106","00geneticgainIB","Genetic gain (298 clones) in  Ibadan 2000-2001 Breeding Season (old trial name was Cassava Ibadan 2000/01)","Clonal Evaluation","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","","","","","","2","1","","","","1810","00_Ibadan",""," No ManagementFactor: "
"117","00geneticgainMK","Genetic gain (260 clones) in  Mokwa 2000-2001 Breeding Season (old trial name was Cassava Mokwa 2000/01)
","Clonal Evaluation","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","","","","","","2","1","","","","1813","00_Mokwa",""," No ManagementFactor: "
"113","00geneticgainMM","Genetic gain (168 clones) in  Malam Madori 2000-2001 Breeding Season (old trial name was Cassava Mmdori 2000/01)
","Clonal Evaluation","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","7","Malam Madori","","","","","","2","1","","","","1812","00_Mmdori",""," No ManagementFactor: "
"122","00geneticgainZA","Genetic gain (230 clones) in  Zaria 2000-2001 Breeding Season (old trial name was Cassava Zaria 2000/01)
","Clonal Evaluation","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","6","Zaria","","","","","","2","1","","","","1814","00_Zaria",""," No ManagementFactor: "
"6199","00impgermp386IB","Assessment of Varieties of Cassava for high yield and disease resistance using improved germplasm lines (386 clones) at Ibadan 2000/2001 Breeding Season","Clonal Evaluation","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","Augmented","3","Ibadan","2000-June-23","2001-June-23","","","","1","1","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"6200","00localgermIB","Local germplasm (865 clones) at Ibadan 2000/2001 Breeding Season","Clonal Evaluation","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","Augmented","3","Ibadan","2000-July-03","","","","","1","1","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"9688","00mpopsetAIB","Mapping Population in Ibadan 2000/2001 Breeding Season","phenotyping_trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","Augmented","3","Ibadan","2000-July-28","2001-June-25","","","10","1","1","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"9689","00mpopsetBIB","Mapping Population (setB) in Ibadan for 2000-2001 Breeding Season","phenotyping_trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","Augmented","3","Ibadan","","","","","10","1","1","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"9690","00mpopsetCIB","Mapping Population (setC) in Ibadan for 2000-2001 Breeding Season","phenotyping_trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","Augmented","3","Ibadan","","","","","10","1","1","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"9691","00mpopsetDIB","Mapping Population (setD) in Ibadan for 2000-2001 Breeding Season","phenotyping_trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","Augmented","3","Ibadan","","","","","10","1","1","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"3644","00pyt09mpIB","Assessment of Varieties (Selections from Mapping population) of Cassava for high yield, disease resistance in Preliminary Yield Trial (09 clones) in Ibadan 2000/2001 Breeding Season 
","Preliminary Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-July-14","2001-June-15","","","","2","2","","","","1810","00_Ibadan",""," No ManagementFactor: "
"9864","00pyt103IB","Preliminary yield trial of 92 clones from mapping project established at Ibadan BS8 Field in the 2000-2001 breeding season.","Preliminary Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","","","","","","2","2","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"3645","00pyt13esarcIB","Assessment of Cassava varieties for ESARC in Preliminary Yield Trial (13 clones) in Ibadan 2000/2001 Breeding Season 

","Preliminary Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-June-07","2001-June-15","","","","3","3","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3646","00pyt22CIATSelIB","Assessment of Varieties (Selections from CIAT) of Cassava for high yield, disease resistance in Preliminary Yield Trial (20 clones) in Ibadan 2000/2001 Breeding Season 
","Preliminary Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-July-14","2001-July-19","","","","2","2","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3647","00pyt33GSIB","Assessment of Varieties (Selections from Genetic Studies ,CE) of Cassava for high yield, disease resistance in Preliminary Yield Trial (33 clones) in Ibadan 2000/2001 Breeding Season 
","Preliminary Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-July-14","2001-July-19","","","","2","2","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3648","00pyt39highyldMK","Assessment of Varieties of Cassava for high yield, disease resistance in Preliminary Yield Trial (39 clones) in Mokwa 2000/2001 Breeding Season 
","Preliminary Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-July-20","2001-July-03","","","","2","2","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3649","00pyt68highyldMM","Assessment of Varieties of Cassava for high yield, disease resistance in Preliminary Yield Trial (68 clones) in Malam Madori 2000/2001 Breeding Season 
","Preliminary Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","7","Malam Madori","2000-August-23","2001-August-06","","","","2","2","","","","1812","00_Mmdori",""," No ManagementFactor: "
"3650","00pyt71interspecIB","Assessment of Cassava varieties by Interspecific in a Preliminary Yield Trial (71 clones) in Ibadan 2000/2001 Breeding Season 
","Preliminary Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-June-23","2001-June-13","","","","2","2","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3651","00pyt78prtpopIB","Assessment of Varieties (Selections from Protein population) of Cassava for high yield, disease resistance in Preliminary Yield Trial (78 clones) in Ibadan 2000/2001 Breeding Season 
","Preliminary Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-September-29","2001-June-13","","","","2","2","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3657","00uyt11NCRPIB","Joint evaluation in Ibadan 2000/2001 breeding season (minimum of 2years)preceding the release of 11 Cassava varieties  involving breeder/breeding institution and National Research Institute
","phenotyping_trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-June-21","2001-August-02","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3658","00uyt11NCRPMK","Joint evaluation in Mokwa 2000/2001 breeding season (minimum of 2years)preceding the release of 11 Cassava varieties  involving breeder/breeding institution and National Research Institute
","phenotyping_trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-September-20","2001-September-20","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3660","00uyt11NCRPset2IB","Joint evaluation in Ibadan 2000/2001 breeding season set 2 (minimum of 2years)preceding the release of 11 Cassava varieties  involving breeder/breeding institution and National Research Institute
","phenotyping_trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-June-16","2001-July-20","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3659","00uyt11NCRPset2MK","Joint evaluation in Mokwa 2000/2001 breeding season set 2 (minimum of 2years)preceding the release of 11 Cassava varieties  involving breeder/breeding institution and National Research Institute
","phenotyping_trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-July-26","2001-July-28","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"6517","00uyt11sarrON","Assessment of Varieties of Cassava for high yield, disease resistance in a Uniform Yield Trial (11 clones) in Onne in 2000/2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","9","Onne","","","","","","4","4","","no","no","6516","00_Onne",""," No ManagementFactor: "
"3620","00uyt16pdMM","Assessment of Varieties of Cassava for poundability,high yield, high dry matter and disease resistance using Uniform Yield Trial (16 clones) in MalamMadori 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","7","Malam Madori","2000-August-17","2001-August-07","","","","4","4","","","","1812","00_Mmdori",""," No ManagementFactor: "
"3607","00uyt19highproteinIB","Assessment of Varieties of Cassava for high protein in Uniformed Yield Trial (19 clones) in Ibadan 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-June-21","2001-July-24","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3610","00uyt20MMSelMM","Assessment of Varieties (Selections from MalamMadori) of Cassava for high yield, disease resistance in Uniform Yield Trial (20 clones) in MalamMadori 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","7","Malam Madori","2000-August-21","2001-August-07","","","","4","4","","","","1812","00_Mmdori",""," No ManagementFactor: "
"3609","00uyt20MkSelMK","Assessment of Varieties (Selections from Mokwa) of Cassava for high yield, disease resistance in Uniform Yield Trial (20 clones) in Mokwa 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-July-01","2001-July-01","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3606","00uyt20interspecIB","Assessment of Cassava varieties by Interspecifics in a Uniformed Yield Trial (20 clones) in Ibadan 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-July-05","2001-July-23","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3661","00uyt20lcnMK","Assessment of Varieties of Cassava for low cyanide using Uniform Yield Trial (20 clones) in Mokwa 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-June-30","2001-June-26","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3608","00uyt20mprIB","Assessment of Cassava varieties for multiple pest resistance ability in a Uniformed Yield Trial (20 clones) in Ibadan 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-April-28","2001-May-21","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3617","00uyt20mprset2IB","Assessment of Cassava varieties for multiple pest resistance ability in a Uniformed Yield Trial (20 clones) Set2  in Ibadan 2000/2001 Breeding Season 

","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-September-06","2001-August-06","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3618","00uyt20pdIB","Assessment of Varieties of Cassava for poundability,high yield, high dry matter and disease resistance using Uniform Yield Trial (20 clones) in Ibadan 2000/2001 Breeding Season 
 

","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-April-26","2001-May-15","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3619","00uyt20pdMK","Assessment of Varieties of Cassava for poundability,high yield, high dry matter and disease resistance using Uniform Yield Trial (20 clones) in Mokwa 2000/2001 Breeding Season 

 

","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-June-29","2001-June-25","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"6521","00uyt21UB","Assessment of Varieties of Cassava for high yield and disease resistance in an Uniform Yield Trial (21 clones)  at Ubiaja 2000/2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","5","Ubiaja","","","","","","4","4","","no","no","6522","00_Ubiaja",""," No ManagementFactor: "
"3611","00uyt21lcnIB","Assessment of Varieties of Cassava for low cyanide using Uniform Yield Trial (21 clones) in Ibadan 2000/2001 Breeding Season 

","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-April-27","2001-May-08","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3656","00uyt21mprMK","Assessment of Cassava varieties for multiple pest resistance ability in a Uniformed Yield Trial (21 clones) in Mokwa 2000/2001 Breeding Season 

","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-June-23","2001-July-02","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3616","00uyt22mprIB","Assessment of Cassava varieties for multiple pest resistance ability in a Uniformed Yield Trial (22 clones) in Ibadan 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-April-14","2001-May-07","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3655","00uyt22mprMM","Assessment of Cassava varieties for multiple pest resistance ability in a Uniformed Yield Trial (22 clones) in  Malam Madori 2000/2001 Breeding Season 

","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","7","Malam Madori","2000-August-12","2001-August-06","","","","4","4","","","","1812","00_Mmdori",""," No ManagementFactor: "
"3654","00uyt23mprMK","Assessment of Cassava varieties for multiple pest resistance ability in a Uniformed Yield Trial (23 clones) in Mokwa 2000/2001 Breeding Season 

","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-June-18","2001-June-23","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"6518","00uyt24tetMM","Assessment of Tetraploid Varieties of Cassava for high yield, disease resistance in a Uniform Yield Trial (24 clones) in Malamadori in 2000/2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","7","Malam Madori","","","","","","4","4","","no","no","1812","00_Mmdori",""," No ManagementFactor: "
"3614","00uyt25CIATIITASelMM","Assessment of Varieties (Selections from CIAT and IITA) of Cassava for high yield, disease resistance in Uniform Yield Trial (25 clones) in MalamMadori 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","7","Malam Madori","2000-August-20","2001-August-18","","","","4","4","","","","1812","00_Mmdori",""," No ManagementFactor: "
"3612","00uyt25highyldKN","Assessment of Varieties of Cassava for high yield, disease resistance in Uniform Yield Trial (25 clones) in Kano 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","18","Kano","2000-August-24","2001-August-13","","","","4","4","","","","3613","00_Kano",""," No ManagementFactor: "
"9692","00uyt25tetraIB","Uniform Yield Trial (25 Clones) TetraPloids in Ibadan for 2000-2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","CRD","3","Ibadan","2000-May-10","2001-August-22","","","","4","4","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"9693","00uyt25tetraMK","Uniform Yield Trial (25 Clones) TetraPloids in Mokwa for 2000-2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","CRD","8","Mokwa","2000-June-26","2001-July-27","","","","4","4","","no","no","1813","00_Mokwa",""," No ManagementFactor: "
"3621","00uyt25tripldMK","Assessment of Varieties (Triploids) of Cassava for high yield, disease resistance in Uniform Yield Trial (30 clones) in Mokwa 2000/2001 Breeding Season
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-June-26","2001-July-26","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3622","00uyt25yrtIB","Biofortification of Cassava using Uniform Yield Trial (25 clones) in Ibadan 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-May-04","2001-May-14","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3623","00uyt25yrtMK","Biofortification of Cassava using Uniform Yield Trial (25 clones) in Mokwa 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-June-29","2001-June-27","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"6520","00uyt28tpMM","Assessment of Triploid Varieties of Cassava for high yield, disease resistance in a Uniform Yield Trial (28 clones) in Malamadori in 2000/2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","7","Malam Madori","","","","","","4","4","","no","no","1812","00_Mmdori",""," No ManagementFactor: "
"6524","00uyt30colMK","Assessment of cassava varieties(tetraploid) (30 clones)generated through induced polyploidy using colchicine treatment in a uniformed Yield trial in Mokwa 2000/2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","","","","","","4","4","","no","no","1813","00_Mokwa",""," No ManagementFactor: "
"9694","00uyt30colchiIB","Uniform Yield Trial (30 Clones) ColchiPloids in Ibadan for 2000-2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","CRD","3","Ibadan","2000-May-12","2001-May-22","","","","4","4","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"3615","00uyt30mprIB","Assessment of Cassava varieties for multiple pest resistance ability in a Uniformed Yield Trial (30 clones) in Ibadan 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","3","Ibadan","2000-April-13","2001-May-07","","","","4","4","","","","1810","00_Ibadan",""," No ManagementFactor: "
"3652","00uyt30mprMK","Assessment of Cassava varieties for multiple pest resistance ability in a Uniformed Yield Trial (30 clones) in Mokwa 2000/2001 Breeding Season 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","2000-June-19","2001-August-10","","","","4","4","","","","1813","00_Mokwa",""," No ManagementFactor: "
"3653","00uyt30mprMM","Assessment of Cassava varieties for multiple pest resistance ability in a Uniformed Yield Trial (30 clones) in  Malam Madori 2000/2001 Breeding Season 
 
","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","7","Malam Madori","2000-August-12","2001-August-06","","","","4","4","","","","1812","00_Mmdori",""," No ManagementFactor: "
"6519","00uyt30tpMK","Assessment of Triploid Varieties of Cassava for high yield, disease resistance in a Uniform Yield Trial (30 clones) in Mokwa in 2000/2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","","","","","","4","4","","no","no","1813","00_Mokwa",""," No ManagementFactor: "
"9695","00uyt30tripldIB","Uniform Yield Trial (30 Clones) TriPloids in Ibadan for 2000-2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","CRD","3","Ibadan","2000-May-05","2001-August-20","","","","4","4","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"6523","00uyt32colMK","Assessment of cassava varieties(tetraploid) (32 clones)generated through induced polyploidy using colchicine treatment in a uniformed Yied trial in Mokwa 2000/2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","8","Mokwa","","","","","","4","4","","no","no","1813","00_Mokwa",""," No ManagementFactor: "
"9696","00uyt34colchiIB","Uniform Yield Trial (34 Clones) ColchiPloids in Ibadan for 2000-2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","CRD","3","Ibadan","2000-May-16","2001-May-18","","","","4","4","","no","no","1810","00_Ibadan",""," No ManagementFactor: "
"6515","00uytMPR30ON","Assessment of Varieties of Cassava for diseases and pests of 30  genotypes at Onne in 2000/2001 Breeding Season","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2000","RCBD","9","Onne","","","","","","4","4","","no","no","6516","00_Onne",""," No ManagementFactor: "
"9724","01NCRP11MK","Evaluation of NCRP Varieties with 11 Clones in Mokwa for 2001 breeding season","Variety Release Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2001","RCBD","8","Mokwa","2001-August-18","2002-August-26","","","","4","4","","no","no","1817","01_Mokwa",""," No ManagementFactor: "
"3562","01ayt11highproteinIB","Assessment of Varieties of Cassava for high protein in Advanced Yield Trial (11 clones) in Ibadan 2001/2002 Breeding Season 
","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2001","RCBD","3","Ibadan","2001-June-01","2002-July-19","","","","4","4","","","","1820","01_Ibadan",""," No ManagementFactor: "
"3563","01ayt15ZaSelMK","Assessment of Varieties (Selections from Zaria) of Cassava for high yield, disease resistance in Advanced Yield Trial (15 clones) in Mokwa 2001/2002 Breeding Season 
","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2001","RCBD","8","Mokwa","2001-July-15","2002-July-20","","","","4","4","","","","1817","01_Mokwa",""," No ManagementFactor: "
"3564","01ayt16highyldIB","Assessment of Varieties of Cassava for high yield, disease resistance  in Uniform Yield Trial (16 clones) in Ibadan 2001/2002 Breeding Season 
","Advanced Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2001","RCBD","3","Ibadan","2001-August-01","2002-July-17","","","","4","4","","","","1820","01_Ibadan",""," No ManagementFactor: "
"3560","01ayt19pdMM","Assessment of Varieties of Cassava for poundability,high yield, high dry matter and disease resistance using Advanced Yield Trial (19 clones) in Ibadan 2001/2002 Breeding Season 

","Uniform Yield Trial","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","2001","RCBD","7","Malam Madori","2001-August-16","2002-August-27","","","","4","4","","","","1819","01_Mmdori",""," No ManagementFactor: "
